,VACIO,ORIGEN-DESTINO,HORARIO,PRECIO,VENDIDO,xxx
0,,BARCELONA-SANTS           - MADRID-PUERTA DE ATOCHA,06:40          - 09:25          el 03/03/2020,58.8€,Vendido,
1,,BARCELONA-SANTS           - MADRID-PUERTA DE ATOCHA,19:25          - 21:55          el 15/03/2020,Gestionado por Truecalia,"72,8€",Vendido
2,,BARCELONA-SANTS           - MADRID-PUERTA DE ATOCHA,15:00          - 17:45          el 09/05/2020,43.55€,Más info,
3,,BARCELONA-SANTS           - MADRID-PUERTA DE ATOCHA,21:15          - 00:02          el 03/03/2020,43€,Vendido,
4,,BARCELONA-SANTS           - MADRID-PUERTA DE ATOCHA,21:00          - 00:02          el 06/03/2020,Gestionado por Truecalia,"59,8€",Vendido
5,,BARCELONA-SANTS           - MADRID-PUERTA DE ATOCHA,16:25          - 18:55          el 08/03/2020,Gestionado por Truecalia,"63,51€",Vendido
6,,BARCELONA-SANTS           - MADRID-PUERTA DE ATOCHA,19:25          - 21:55          el 29/03/2020,51.4€,Vendido,
7,,BARCELONA-SANTS           - MADRID-PUERTA DE ATOCHA,16:25          - 18:55          el 29/03/2020,Gestionado por Truecalia,"63,51€",Vendido
8,,BARCELONA-SANTS           - MADRID-PUERTA DE ATOCHA,18:00          - 21:10          el 06/03/2020,75€,Vendido,
9,,BARCELONA-SANTS           - MADRID-PUERTA DE ATOCHA,16:25          - 18:55          el 08/03/2020,Gestionado por Truecalia,"63,51€",Vendido
